"GenreName","GenreHash"
"Reggae","Country:Jamaica;Related:Ska,Rock Steady,Dancehall,Dub"
"Cumbia","Country:Colombia;Related:Vallenato"
"Chacarera","Country:Argentina;Related:Zamba,Vidala,Baguala,Gato,Chamame,Carnaval,Cueca"
