"SongYear","SongName","SongHash"
"1963","La cumbia del cabezon","Country:Venezuela;Related:Los Wawanco,Zambayonny"
"1964","Deci xq no queres","Country:Argentina;Related:Twist and Shout, La Bamba;Other:Version Chaqueno Palavecino"
